address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
112VvTYQE9HSuSLHMkf1CiJx4N4ffcFnMa;;234.23274287;300.0;6335367.0;2022-06-17 07:52:12 UTC;2022-06-17 07:52:12 UTC;2;2022-06-17 08:00:00 UTC;1655449200;;21117.89;59739.03034146;59739.03034146;b;741136;False
1155PFTaVYaTybWpYmv7MCoKCG1SfPXPE9;;263.00280361;300.0;8856909.0;2022-06-07 12:26:29 UTC;2022-06-07 12:26:29 UTC;2;2022-06-07 13:00:00 UTC;1654603200;;29523.03;-21725.12369217;-21725.12369217;b;739710;False
116EytSxns3SaGU16YQLbw4P7bgbNvtpPk;;-0.00041994;482.29821826;25209226.27830321;2024-02-20 11:47:00 UTC;2024-02-20 11:47:00 UTC;116;2024-02-20 12:00:00 UTC;1708426800;;52268.96;291351.78435024;7922582.2779719;b;831255;False
11z4V8cy87oDRomV7nzDHAUv3NnmyrysR;;200.0;200.0;6058070.0;2023-07-17 07:27:55 UTC;2023-07-17 07:27:55 UTC;1;2023-07-17 08:00:00 UTC;1689577200;;30290.35;0.0;0.0;b;799052;False
124BPp9mTaXxTXiRx8cxEZDd4sGjoxGk9F;;0.00025;1504.64594193;72777091.08075573;2024-02-12 01:28:28 UTC;2024-02-12 01:28:28 UTC;178;2024-02-12 02:00:00 UTC;1707699600;;48368.25;5074372.45666317;48303093.3610982;c;830049;False
124SzTv3bBXZVPz2Li9ADs9oz4zCfT3VmM;;999.9988;3999.99057174;206318673.6923291;2024-02-18 07:04:00 UTC;2024-02-18 07:04:00 UTC;6;2024-02-18 08:00:00 UTC;1708239600;;51579.79;-1319516.38088211;4198602.18042548;c;830961;False
126cLS46uhg5KuKFeaQMpSjnPq8gBy44S6;;-78.00202938;460.98873182;23602885.83276114;2024-02-21 10:10:47 UTC;2024-02-21 10:10:47 UTC;1249;2024-02-21 11:00:00 UTC;1708509600;;51200.57;19667.77287619;10519320.31900104;b;831390;False
12CgcBTn6viwuoyLNkmUrTQAG8hCvVw5Zh;;263.31646884;300.0;8825157.0;2022-06-10 13:44:16 UTC;2022-06-10 13:44:16 UTC;2;2022-06-10 14:00:00 UTC;1654866000;;29417.19;-25015.96723925;-25015.96723925;b;740211;False
12DvVeRXtk8t7AXSWkwu73fQrKSTKwbUyo;;220.1;220.1;5378577.097;2023-02-19 19:48:55 UTC;2023-02-19 19:48:55 UTC;1;2023-02-19 20:00:00 UTC;1676833200;;24436.97;0.0;0.0;b;777383;False
12Hfpqw5FVRq2wVx7XizWdVFS1erEs3j1Z;;-10.00008982;748.21430761;34385370.68482358;2024-01-12 09:17:51 UTC;2024-01-12 09:17:51 UTC;127;2024-01-12 10:00:00 UTC;1705050000;;45956.58;-1476531.55326723;13272608.11549927;b;825426;False
12QVsfAFv5RsHuqx4i9WsNGJPeiYLoN2qo;;-225.99984;1027.99952;52596649.68124161;2024-02-21 09:57:29 UTC;2024-02-21 09:57:29 UTC;167;2024-02-21 10:00:00 UTC;1708506000;;51164.08;-1133226.68163839;16488193.86578032;c;831389;False
