address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
112VvTYQE9HSuSLHMkf1CiJx4N4ffcFnMa;;234.23274287;300.0;6335367.0;2022-06-17 07:52:12 UTC;2022-06-17 07:52:12 UTC;2;2022-06-17 08:00:00 UTC;1655449200;;21117.89;59739.03034146;59739.03034146;b;741136;False
1155PFTaVYaTybWpYmv7MCoKCG1SfPXPE9;;263.00280361;300.0;8856909.0;2022-06-07 12:26:29 UTC;2022-06-07 12:26:29 UTC;2;2022-06-07 13:00:00 UTC;1654603200;;29523.03;-21725.12369217;-21725.12369217;b;739710;False
11z4V8cy87oDRomV7nzDHAUv3NnmyrysR;;200.0;200.0;6058070.0;2023-07-17 07:27:55 UTC;2023-07-17 07:27:55 UTC;1;2023-07-17 08:00:00 UTC;1689577200;;30290.35;0.0;0.0;b;799052;False
12CgcBTn6viwuoyLNkmUrTQAG8hCvVw5Zh;;263.31646884;300.0;8825157.0;2022-06-10 13:44:16 UTC;2022-06-10 13:44:16 UTC;2;2022-06-10 14:00:00 UTC;1654866000;;29417.19;-25015.96723925;-25015.96723925;b;740211;False
12DvVeRXtk8t7AXSWkwu73fQrKSTKwbUyo;;220.1;220.1;5378577.097;2023-02-19 19:48:55 UTC;2023-02-19 19:48:55 UTC;1;2023-02-19 20:00:00 UTC;1676833200;;24436.97;0.0;0.0;b;777383;False
12ZrFWXPv16uXgbjkCLCq8C8FBJDmBRovn;;167.03826159;300.0;11721294.0;2022-03-15 16:53:23 UTC;2022-03-15 16:53:23 UTC;2;2022-03-15 17:00:00 UTC;1647360000;;39070.98;76500.86581158;76500.86581158;b;727468;False
12d2B1nPsGhHiMeJf8dmL5fJGa5HFMFvse;;199.60979091;300.0;7826640.0;2023-08-20 14:29:01 UTC;2023-08-20 14:29:01 UTC;3;2023-08-20 15:00:00 UTC;1692540000;;26088.8;-279832.68832792;-314470.54813996;b;804073;False
12zXTwF2tkZ2NNm3eCk88yn9i9o6z7SGY6;;225.59808091;300.0;6964296.0;2022-07-21 01:08:29 UTC;2022-07-21 01:08:29 UTC;2;2022-07-21 02:00:00 UTC;1658365200;;23214.32;-5955.87362315;-5955.87362315;b;745821;False
13URU4Hu495FEs6GBwCXK3VnCykrKop7mh;;220.13584035;300.0;6452733.0;2022-06-21 14:57:30 UTC;2022-06-21 14:57:30 UTC;2;2022-06-21 15:00:00 UTC;1655820000;;21509.11;36167.2833391;36167.2833391;b;741736;False
13dCiD16TB8KTWqAoFS9WhJv1h3uTE9DPa;;200.81079125;300.0;11375487.0;2022-02-04 11:33:37 UTC;2022-02-04 11:33:37 UTC;2;2022-02-04 12:00:00 UTC;1643972400;;37918.29;84296.94094828;84296.94094828;b;721784;False
13fma23r9RzY9d8cHPFKdE42JNvgnKtkKB;;278.15960489;300.0;8699901.0;2022-05-27 06:28:31 UTC;2022-05-27 06:28:31 UTC;2;2022-05-27 07:00:00 UTC;1653631200;;28999.67;-12760.46924697;-12760.46924697;b;738088;False
