address;balance_btc_prev;n_tr_prev;time_prev;ts_prev;exchange_rate_prev;cum_profit_prev;cohort_prev;last_block;label;balance_btc;balance_usd;first_tr;last_tr;tr_btc;n_tr;time;ts;exchange_rate;tr_profit;cum_profit;cohort;abs_delta
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr;575.9175619;13;2024-02-21 11:00:00 UTC;1708509600;51200.57;-460679.82867011;b;831396;;40430.0;2434613488.0;2024-02-02 04:05:46 UTC;2024-04-18 11:59:45 UTC;0.0;251;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;39854.0824381
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7;296.88350962;31;2024-02-20 07:00:00 UTC;1708408800;51953.9;65862726.1403212;b;831216;;30329.0;1826324582.0;2023-06-19 09:30:18 UTC;2024-04-16 09:33:01 UTC;0.0;29;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;30032.11649038
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97;204010.07697542;141;2024-02-19 00:00:00 UTC;1708297200;52201.24;5280547704.29954;e;831045;Bitfinex-coldwallet;180010.0;10839727335.0;2019-08-16 10:00:29 UTC;2024-04-02 21:33:11 UTC;0.0;167;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;e;24000.07697542
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j;25827.133566;4806;2024-02-14 15:00:00 UTC;1707919200;51754.99;37283464.89935539;d;830434;Bitfinex-coldwallet;3006.0;181002435.0;2018-11-02 20:14:44 UTC;2024-04-18 14:19:48 UTC;0.0;4880;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;22821.133566
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;45448.63242814;726;2024-02-20 11:00:00 UTC;1708423200;51906.34;1146590603.81281;d;831245;;61849.0;3724401094.0;2022-11-02 06:45:37 UTC;2024-04-18 06:05:17 UTC;0.0;323;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;16400.36757186
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd;32924.29803669;241;2024-02-14 13:00:00 UTC;1707912000;51666.4;749500428.3606211;d;830418;OKEx;48258.0;2905986175.0;2022-12-16 01:48:57 UTC;2024-04-15 03:29:17 UTC;0.0;178;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;15333.701963309999
bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f;37932.02970753;30;2024-01-25 16:00:00 UTC;1706194800;39776.48;464040579.16787344;d;827327;Bybit-coldwallet;48206.0;2902833544.0;2023-08-16 00:56:29 UTC;2024-04-17 20:55:58 UTC;0.0;7;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;10273.970292470003
3C8mzzeiyakvXkQadUM5f98zCt5NQWwXo1;20033.29075517;18;2024-02-20 16:00:00 UTC;1708441200;51705.21;275399804.35833716;d;831273;;9999.0;602113732.0;2023-01-13 14:39:40 UTC;2024-03-18 00:34:20 UTC;0.0;5;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;10034.290755170001
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6;14674.21274866;1252;2024-02-20 10:00:00 UTC;1708419600;51906.34;464096548.9385858;d;831242;69400086;4766.0;287005232.0;2020-06-08 15:39:51 UTC;2024-04-17 20:55:58 UTC;0.0;787;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;9908.21274866
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h;6303.80162581;110662;2024-02-14 14:00:00 UTC;1707915600;51587.91;-675406893.2344248;c;830422;Binance-wallet;16022.0;964823948.0;2021-10-08 07:14:44 UTC;2024-04-18 23:31:54 UTC;0.0;1543498;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;9718.19837419
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6;63432.00509414;269;2024-02-20 20:00:00 UTC;1708455600;52036.4;-279071718.05106187;d;831298;Binance-coldwallet;73047.0;4398709271.0;2018-11-13 14:11:02 UTC;2024-04-18 05:28:58 UTC;0.0;236;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;9614.994905860003
3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN;22527.0020601;22;2024-02-14 15:00:00 UTC;1707919200;51754.99;570964750.6883408;d;830433;;13139.0;791186766.0;2023-05-09 03:51:38 UTC;2024-04-12 08:42:39 UTC;0.0;25;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;d;9388.0020601
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2;127136.15094507;115;2024-02-15 15:00:00 UTC;1708005600;52301.99;3089769651.4813256;e;830594;;136295.0;8207310532.0;2023-05-08 18:42:20 UTC;2024-04-17 21:40:23 UTC;0.0;127;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;e;9158.849054930004
3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV;649.52188941;11035;2024-02-21 03:00:00 UTC;1708480800;52053.46;103174994.77407967;b;831340;71427940;9594.0;577701801.0;2020-12-02 05:49:36 UTC;2024-04-18 18:46:27 UTC;0.0;11427;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;8944.47811059
